name; genre
While My Guitar Gently Weeps - Remastered 2009; beatlesque
While My Guitar Gently Weeps - Remastered 2009; british invasion
While My Guitar Gently Weeps - Remastered 2009; classic rock
While My Guitar Gently Weeps - Remastered 2009; merseybeat
While My Guitar Gently Weeps - Remastered 2009; psychedelic rock
While My Guitar Gently Weeps - Remastered 2009; rock
White Tiger; british soul
Younger Dreams; metalcore
Younger Dreams; screamo
Forgotten Souls; vancouver indie
Dark Storms - Acoustic; metalcore
Dark Storms - Acoustic; screamo
Reality Without You - Acoustic; metalcore
Reality Without You - Acoustic; screamo
Sunrise; drift phonk
Fate - Acoustic; metalcore
Fate - Acoustic; screamo
Reason To Love - Acoustic; metalcore
Reason To Love - Acoustic; screamo
Sunrise - Acoustic; metalcore
Sunrise - Acoustic; screamo
Falling Away - Acoustic (Bonus Track); metalcore
Falling Away - Acoustic (Bonus Track); screamo
The Court Of The Crimson King; album rock
The Court Of The Crimson King; art rock
The Court Of The Crimson King; classic rock
The Court Of The Crimson King; instrumental rock
The Court Of The Crimson King; jazz fusion
The Court Of The Crimson King; jazz rock
The Court Of The Crimson King; progressive rock
The Court Of The Crimson King; psychedelic rock
The Court Of The Crimson King; rock
The Court Of The Crimson King; symphonic rock
The Court Of The Crimson King; zolo
Epitaph; indie pop
Epitaph; indie poptimism
Epitaph; indie rock
Epitaph; minneapolis indie
Epitaph; modern alternative rock
Epitaph; modern rock
Amor de Siempre; bedroom pop
Amor de Siempre; dream pop
moonchild; k-rap
Bad Ideas (Lo Fi); alt z
Bad Ideas (Lo Fi); indie pop
Haze; brostep
Haze; complextro
Haze; edm
Haze; electro
I Don't Wanna Lose You Tonight; deep new americana
Please Notice; indie pop
Please Notice; modern rock
Build Me Up Buttercup; bubblegum pop
Build Me Up Buttercup; soul
ocean eyes; art pop
ocean eyes; electropop
ocean eyes; pop
idontwannabeyouanymore; art pop
idontwannabeyouanymore; electropop
idontwannabeyouanymore; pop
7 Years; danish pop
7 Years; pop
7 Years; scandipop
Flaming Hot Cheetos; bedroom pop
Flaming Hot Cheetos; indie pop
Flaming Hot Cheetos; pop
Soft Skin; lo-fi chill
Soft Skin; sad lo-fi
La Vie En Rose; adult standards
La Vie En Rose; dixieland
La Vie En Rose; harlem renaissance
La Vie En Rose; jazz trumpet
La Vie En Rose; new orleans jazz
La Vie En Rose; swing
La Vie En Rose; vocal jazz
when the party's over; art pop
when the party's over; electropop
when the party's over; pop
Fix Me; alternative metal
